Day/Month/Year,BusStop,Pasengers
ศุกร์ที่ 16 กันยายน 2565,7-Eleven Stop,911
,ETC office ,737
,Building A Gate 6,169
จันทร์ที่ 19 กันยายน 2565,7-Eleven Stop,716
,ETC office ,638
,Building A Gate 6,92
อังคารที่ 20 กันยายน 2565,7-Eleven Stop,888
,ETC office ,697
,Building A Gate 6,97
พุธที่ 21 กันยายน 2565,7-Eleven Stop,928
,ETC office ,620
,Building A Gate 6,123
พฤหัสบดีที่ 22 กันยายน 2565,7-Eleven Stop,799
,ETC office ,641
,Building A Gate 6,141
ศุกร์ที่ 23 กันยายน 2565,7-Eleven Stop,885
,ETC office ,629
,Building A Gate 6,88
จันทร์ที่ 26 กันยายน 2565,7-Eleven Stop,921
,ETC office ,604
,Building A Gate 6,119
อังคารที่ 27 กันยายน 2565,7-Eleven Stop,1065
,ETC office ,756
,Building A Gate 6,249
พุธที่ 28 กันยายน 2565,7-Eleven Stop,1103
,ETC office ,725
,Building A Gate 6,216
พฤหัสบดีที่ 29 กันยายน 2565,7-Eleven Stop,915
,ETC office ,637
,Building A Gate 6,181
ศุกร์ที่ 30 กันยายน 2565,7-Eleven Stop,875
,ETC office ,618
,Building A Gate 6,154
จันทร์ที่ 3 ตุลาคม 2565,7-Eleven Stop,921
,ETC office ,518
,Building A Gate 6,94
อังคารที่ 4 ตุลาคม 2565,7-Eleven Stop,713
,ETC office ,601
,Building A Gate 6,104
พุธที่ 5 ตุลาคม 2565,7-Eleven Stop,926
,ETC office ,569
,Building A Gate 6,141
พฤหัสบดีที่ 6 ตุลาคม 2565,7-Eleven Stop,944
,ETC office ,526
,Building A Gate 6,174
ศุกร์ที่ 7 ตุลาคม 2565,7-Eleven Stop,816
,ETC office ,629
,Building A Gate 6,186
จันทร์ที่ 10 ตุลาคม 2565,7-Eleven Stop,861
,ETC office ,518
,Building A Gate 6,115
อังคารที่ 11 ตุลาคม 2565,7-Eleven Stop,924
,ETC office ,666
,Building A Gate 6,198
พุธที่ 12 ตุลาคม 2565,7-Eleven Stop,984
,ETC office ,684
,Building A Gate 6,158
จันทร์ที่ 17 ตุลาคม 2565,7-Eleven Stop,949
,ETC office ,713
,Building A Gate 6,182
อังคารที่ 18 ตุลาคม 2565,7-Eleven Stop,1058
,ETC office ,702
,Building A Gate 6,180
พุธที่ 19 ตุลาคม 2565,7-Eleven Stop,1004
,ETC office ,844
,Building A Gate 6,230
พฤหัสบดีที่ 20 ตุลาคม 2565,7-Eleven Stop,1052
,ETC office ,759
,Building A Gate 6,154
ศุกร์ที่ 21 ตุลาคม 2565,7-Eleven Stop,1082
,ETC office ,728
,Building A Gate 6,197
อังคารที่ 25 ตุลาคม 2565,7-Eleven Stop,932
,ETC office ,745
,Building A Gate 6,128
พุธที่ 26 ตุลาคม 2565,7-Eleven Stop,1036
,ETC office ,690
,Building A Gate 6,131
พฤหัสบดีที่ 27 ตุลาคม 2565,7-Eleven Stop,955
,ETC office ,708
,Building A Gate 6,143
ศุกร์ที่ 28 ตุลาคม 2565,7-Eleven Stop,902
,ETC office ,707
,Building A Gate 6,112
จันทร์ที่ 31 ตุลาคม 2565,7-Eleven Stop,883
,ETC office ,615
,Building A Gate 6,123
วันอังคารที่ 1 พฤศจิกายน 2565,7-Eleven Stop,834
,ETC office ,627
,Building A Gate 6,119
วันพุธที่ 2 พฤศจิกายน 2565,7-Eleven Stop,848
,ETC office ,606
,Building A Gate 6,154
พฤหัสบดีที่ 3 พฤศจิกายน 2565,7-Eleven Stop,849
,ETC office ,616
,Building A Gate 6,142
ศุกร์ที่ 4 พฤศจิกายน 2565,7-Eleven Stop,854
,ETC office ,597
,Building A Gate 6,143
จันทร์ที่ 7 พฤศจิกายน 2565,7-Eleven Stop,884
,ETC office ,644
,Building A Gate 6,110
อังคารที่ 8 พฤศจิกายน 2565,7-Eleven Stop,881
,ETC office ,639
,Building A Gate 6,159
พุธที่ 9 พฤศจิกายน 2565,7-Eleven Stop,932
,ETC office ,612
,Building A Gate 6,138
พฤหัสบดีที่ 10 พฤศจิกายน 2565 ,7-Eleven Stop,888
,ETC office ,615
,Building A Gate 6,117
ศุกร์ที่ 11 พฤศจิกายน 2565,7-Eleven Stop,900
,ETC office ,681
,Building A Gate 6,129
จันทร์ที่ 14 พฤศจิกายน 2565,7-Eleven Stop,809
,ETC office ,581
,Building A Gate 6,108
อังคารที่ 15 พฤศจิกายน 2565,7-Eleven Stop,790
,ETC office ,620
,Building A Gate 6,109
จันทร์ที่ 21 พฤศจิกายน 2565,7-Eleven Stop,886
,ETC office ,662
,Building A Gate 6,170
