Building,Month/Year,kWh,Bath
BC,เม.ย 63,225.61,936.29
BC,พ.ค 63,255.12,"1,058.75"
BC,มิ.ย 63,"7,219.79","29,962.11"
BC,ก.ค 63,"32,418.82","134,538.12"
BC,ส.ค 63,"37,859.21","157,115.72"
BC,ก.ย 63,"35,077.02","145,569.63"
BC,ต.ค 63,"27,971.03","116,079.79"
BC,พ.ย 63,"32,679.68","135,620.66"
BC,ธ.ค 63,"30,273.50","125,635.04"
BC,ม.ค 64," 33,021.49 "," 137,039.19 "
BC,ก.พ 64," 27,874.60 "," 115,679.58 "
BC,มี.ค 64," 35,390.80 "," 146,871.81 "
BC,เม.ย 64," 35,540.33 "," 147,492.39 "
BC,พ.ค 64," 37,551.19 "," 155,837.45 "
BC,มิ.ย 64,"40,702.42"," 168,915.04 "
BC,ก.ค 64," 34,704.46 "," 144,023.52 "
BC,ส.ค 64," 33,078.58 "," 137,276.09 "
BC,ก.ย 64," 28,371.00 "," 117,739.64 "
BC,ต.ค 64," 31,314.49 "," 129,955.13 "
BC,พ.ย 64," 27,467.77 "," 113,991.26 "
BC,ธ.ค 64," 25,204.04 "," 104,596.77 "
BC,ม.ค 65," 24,373.73 "," 101,150.99 "
BC,ก.พ 65," 25,402.74 "," 105,421.35 "
BC,มี.ค 65," 32,890.26 "," 136,494.56 "
BC,เม.ย 65," 34,407.54 "," 142,791.31 "
BC,พ.ค 65," 34,965.51 "," 145,106.86 "
BC,มิ.ย 65,"36,486.49"," 151,418.93 "
BC,ก.ค 65," 33,437.60 "," 138,766.04 "
BC,ส.ค 65," 31,792.72 "," 131,939.79 "
BC,ก.ย 65," 28,714.33 "," 119,164.49 "
BC,ต.ค 65," 30,291.44 "," 125,709.49 "
BC,พ.ย 65," 26,746.84 "," 110,999.40 "
BC,ธ.ค 65," 33,548.22 "," 139,225.13 "
BC,ม.ค 66,"28,800.52","119,522.16"
BC,ก.พ 66,"30,370.14","126,036.07"
BC,มี.ค 66,"37,198.42","154,373.46"
BC,เม.ย 66,"40,618.65","168,567.41"
BC,พ.ค 66,"39,510.94","163,970.39"
AM,พ.ค 60,"43,892.28 ","175,569.10 "
AM,มิ.ย 60,"56,089.56 ","224,358.22 "
AM,ก.ค 60,"52,376.48 ","209,505.90 "
