Day/Month/Year,BusStop,Pasengers
พฤหัสบดีที่ 17 มีนาคม 2565,ETC office ,617
พฤหัสบดีที่ 17 มีนาคม 2565,Building A Gate 6,91
ศุกร์ที่ 18 มีนาคม 2565,7-Eleven Stop,707
ศุกร์ที่ 18 มีนาคม 2565,ETC office ,565
ศุกร์ที่ 18 มีนาคม 2565,Building A Gate 6,55
จันทร์ที่ 21 มีนาคม 2565,7-Eleven Stop,705
จันทร์ที่ 21 มีนาคม 2565,ETC office ,604
จันทร์ที่ 21 มีนาคม 2565,Building A Gate 6,78
อังคารที่ 22 มีนาคม 2565,7-Eleven Stop,771
อังคารที่ 22 มีนาคม 2565,ETC office ,607
อังคารที่ 22 มีนาคม 2565,Building A Gate 6,68
พุธที่ 23 มีนาคม 2565,7-Eleven Stop,757
พุธที่ 23 มีนาคม 2565,ETC office ,567
พุธที่ 23 มีนาคม 2565,Building A Gate 6,76
พฤหัสบดีที่ 24 มีนาคม 2565,7-Eleven Stop,682
พฤหัสบดีที่ 24 มีนาคม 2565,ETC office ,550
พฤหัสบดีที่ 24 มีนาคม 2565,Building A Gate 6,51
ศุกร์ที่ 25 มีนาคม 2565,7-Eleven Stop,696
ศุกร์ที่ 25 มีนาคม 2565,ETC office ,592
ศุกร์ที่ 25 มีนาคม 2565,Building A Gate 6,86
จันทร์ที่ 28 มีนาคม 2565,7-Eleven Stop,746
จันทร์ที่ 28 มีนาคม 2565,ETC office ,596
จันทร์ที่ 28 มีนาคม 2565,Building A Gate 6,84
อังคารที่ 29 มีนาคม 2565,7-Eleven Stop,785
อังคารที่ 29 มีนาคม 2565,ETC office ,619
อังคารที่ 29 มีนาคม 2565,Building A Gate 6,72
พุธที่ 30 มีนาคม 2565,7-Eleven Stop,804
พุธที่ 30 มีนาคม 2565,ETC office ,596
พุธที่ 30 มีนาคม 2565,Building A Gate 6,80
พฤหัสบดีที่ 31 มีนาคม 2565,7-Eleven Stop,778
พฤหัสบดีที่ 31 มีนาคม 2565,ETC office ,599
พฤหัสบดีที่ 31 มีนาคม 2565,Building A Gate 6,84
ศุกร์ที่ 1 เม.ย. 2565,7-Eleven Stop,725
ศุกร์ที่ 1 เม.ย. 2565,ETC office ,533
ศุกร์ที่ 1 เม.ย. 2565,Building A Gate 6,80
จันทร์ที่ 4 เม.ย. 2565,7-Eleven Stop,681
จันทร์ที่ 4 เม.ย. 2565,ETC office ,590
จันทร์ที่ 4 เม.ย. 2565,Building A Gate 6,70
อังคารที่ 5 เม.ย. 2565,7-Eleven Stop,808
อังคารที่ 5 เม.ย. 2565,ETC office ,556
อังคารที่ 5 เม.ย. 2565,Building A Gate 6,76
พฤหัสบดีที่ 7 เม.ย. 2565,7-Eleven Stop,779
พฤหัสบดีที่ 7 เม.ย. 2565,ETC office ,673
พฤหัสบดีที่ 7 เม.ย. 2565,Building A Gate 6,89
ศุกร์ที่ 8 เม.ย. 2565,7-Eleven Stop,783
ศุกร์ที่ 8 เม.ย. 2565,ETC office ,612
ศุกร์ที่ 8 เม.ย. 2565,Building A Gate 6,70
จันทร์ที่ 11 เม.ย. 2565,7-Eleven Stop,695
จันทร์ที่ 11 เม.ย. 2565,ETC office ,555
จันทร์ที่ 11 เม.ย. 2565,Building A Gate 6,71
อังคารที่ 12 เม.ย. 2565,7-Eleven Stop,622
อังคารที่ 12 เม.ย. 2565,ETC office ,500
อังคารที่ 12 เม.ย. 2565,Building A Gate 6,61
จันทร์ที่ 18 เม.ย. 2565,7-Eleven Stop,682
จันทร์ที่ 18 เม.ย. 2565,ETC office ,570
จันทร์ที่ 18 เม.ย. 2565,Building A Gate 6,72
อังคารที่ 19 เม.ย. 2565,7-Eleven Stop,776
อังคารที่ 19 เม.ย. 2565,ETC office ,545
อังคารที่ 19 เม.ย. 2565,Building A Gate 6,68
พุธที่ 20 เม.ย. 2565,7-Eleven Stop,711
พุธที่ 20 เม.ย. 2565,ETC office ,538
พุธที่ 20 เม.ย. 2565,Building A Gate 6,80
พฤหัสบดีที่ 12 เม.ย. 2565,7-Eleven Stop,678
พฤหัสบดีที่ 12 เม.ย. 2565,ETC office ,592
พฤหัสบดีที่ 12 เม.ย. 2565,Building A Gate 6,62
ศุกร์ที่ 22 เม.ย. 2565,7-Eleven Stop,787
ศุกร์ที่ 22 เม.ย. 2565,ETC office ,600
ศุกร์ที่ 22 เม.ย. 2565,Building A Gate 6,88
จันทร์ที่ 25 เม.ย. 2565,7-Eleven Stop,650
จันทร์ที่ 25 เม.ย. 2565,ETC office ,579
จันทร์ที่ 25 เม.ย. 2565,Building A Gate 6,56
อังคารที่ 26 เม.ย. 2565,7-Eleven Stop,784
อังคารที่ 26 เม.ย. 2565,ETC office ,620
อังคารที่ 26 เม.ย. 2565,Building A Gate 6,82
พุธที่ 27 เม.ย. 2565,7-Eleven Stop,859
พุธที่ 27 เม.ย. 2565,ETC office ,610
พุธที่ 27 เม.ย. 2565,Building A Gate 6,91
พฤหัสบดีที่ 28 เม.ย. 2565,7-Eleven Stop,822
พฤหัสบดีที่ 28 เม.ย. 2565,ETC office ,603
พฤหัสบดีที่ 28 เม.ย. 2565,Building A Gate 6,91
ศุกร์ที่ 29 เม.ย. 2565,7-Eleven Stop,824
ศุกร์ที่ 29 เม.ย. 2565,ETC office ,610
ศุกร์ที่ 29 เม.ย. 2565,Building A Gate 6,140
จันทร์ที่ 2 พ.ค. 2565,7-Eleven Stop,688
จันทร์ที่ 2 พ.ค. 2565,ETC office ,611
จันทร์ที่ 2 พ.ค. 2565,Building A Gate 6,53
อังคารที่ 3 พ.ค. 2565,7-Eleven Stop,800
อังคารที่ 3 พ.ค. 2565,ETC office ,661
อังคารที่ 3 พ.ค. 2565,Building A Gate 6,68
พฤหัสบดีที่ 5 พ.ค. 2565,7-Eleven Stop,820
พฤหัสบดีที่ 5 พ.ค. 2565,ETC office ,619
พฤหัสบดีที่ 5 พ.ค. 2565,Building A Gate 6,101
ศุกร์ที่ 6 พ.ค. 2565,7-Eleven Stop,787
ศุกร์ที่ 6 พ.ค. 2565,ETC office ,613
ศุกร์ที่ 6 พ.ค. 2565,Building A Gate 6,83
จันทร์ที่ 9 พ.ค. 2565,7-Eleven Stop,765
จันทร์ที่ 9 พ.ค. 2565,ETC office ,602
จันทร์ที่ 9 พ.ค. 2565,Building A Gate 6,86
อังคารที่ 10 พ.ค. 2565,7-Eleven Stop,704
อังคารที่ 10 พ.ค. 2565,ETC office ,607
อังคารที่ 10 พ.ค. 2565,Building A Gate 6,68
พุธที่ 11 พ.ค. 2565,7-Eleven Stop,710
พุธที่ 11 พ.ค. 2565,ETC office ,572
พุธที่ 11 พ.ค. 2565,Building A Gate 6,54
พฤหัสบดีที่ 12 พ.ค. 2565,7-Eleven Stop,729
พฤหัสบดีที่ 12 พ.ค. 2565,ETC office ,622
พฤหัสบดีที่ 12 พ.ค. 2565,Building A Gate 6,72
อังคารที่ 17 พ.ค. 2565,7-Eleven Stop,901
อังคารที่ 17 พ.ค. 2565,ETC office ,666
อังคารที่ 17 พ.ค. 2565,Building A Gate 6,109
